model,lead,mean,std,min,max
climatology,1,0.0,0.0,0.0,0.0
climatology,3,0.0,0.0,0.0,0.0
climatology,6,0.0,0.0,0.0,0.0
persistence,1,0.485,0.136,0.332,0.66
persistence,3,-0.775,0.375,-1.35,-0.356
persistence,6,-0.572,0.733,-1.833,-0.033
ar,1,0.6,0.074,0.522,0.684
ar,3,0.028,0.012,0.015,0.046
ar,6,0.039,0.017,0.017,0.061
ols,1,0.687,0.103,0.551,0.792
ols,3,-0.023,0.151,-0.213,0.192
ols,6,-0.387,0.893,-1.97,0.181
ridge,1,0.692,0.094,0.57,0.789
ridge,3,-0.01,0.098,-0.136,0.13
ridge,6,-0.178,0.548,-1.128,0.282
lasso,1,0.695,0.087,0.595,0.787
lasso,3,0.017,0.033,-0.012,0.067
lasso,6,0.057,0.081,-0.01,0.197
elasticnet,1,0.69,0.09,0.588,0.785
elasticnet,3,0.017,0.031,-0.008,0.065
elasticnet,6,0.057,0.081,-0.01,0.196
rf,1,0.588,0.167,0.329,0.729
rf,3,-0.014,0.138,-0.183,0.199
rf,6,0.05,0.102,-0.114,0.13
xgboost,1,0.633,0.139,0.46,0.788
xgboost,3,-0.133,0.241,-0.457,0.152
xgboost,6,-0.078,0.259,-0.54,0.07
