model,lead,pod,far,tp,fp,fn
ols,1,0.3841166936790924,0.27374872318692545,1422,536,2280
ridge,1,0.37790383576445163,0.26792255363683937,1399,512,2303
lasso,1,0.348730415991356,0.21946795646916567,1291,363,2411
elasticnet,1,0.3581847649918963,0.22183098591549297,1326,378,2376
rf,1,0.3287412209616424,0.22236421725239616,1217,348,2485
xgboost,1,0.381955699621826,0.24506139882541378,1414,459,2288
climatology,1,0.0,,0,0,3702
persistence,1,0.5424095083738519,0.3913307062746287,2008,1291,1694
lstm,1,0.5723933009184224,0.384369552585706,2119,1323,1583
ols,3,0.0,,0,0,3850
ridge,3,0.0,,0,0,3850
lasso,3,0.0,,0,0,3850
elasticnet,3,0.0,,0,0,3850
rf,3,0.03194805194805195,0.2064516129032258,123,32,3727
xgboost,3,0.028831168831168832,0.5152838427947598,111,118,3739
climatology,3,0.0,,0,0,3850
persistence,3,0.20987012987012987,0.7544819203889396,808,2483,3042
lstm,3,0.06883116883116883,0.7685589519650655,265,880,3585
ols,6,0.0,,0,0,3810
ridge,6,0.0,,0,0,3810
lasso,6,0.0,,0,0,3810
elasticnet,6,0.0,,0,0,3810
rf,6,0.0,,0,0,3810
xgboost,6,0.0068241469816272965,0.0,26,0,3784
climatology,6,0.0,,0,0,3810
persistence,6,0.279002624671916,0.676997872986934,1063,2228,2747
lstm,6,0.0984251968503937,0.6428571428571429,375,675,3435
