model,lead,mae,rmse,pearson_r,acc,msss_vs_climatology
elasticnet,1,0.062,0.078,0.053,0.051,0.093
elasticnet,3,-0.002,-0.003,-0.086,-0.078,-0.006
elasticnet,6,-0.004,-0.003,0.062,0.007,-0.007
lasso,1,0.067,0.082,0.055,0.054,0.097
lasso,3,-0.003,-0.003,-0.091,-0.062,-0.007
lasso,6,-0.004,-0.003,0.062,0.007,-0.007
ols,1,0.063,0.071,0.045,0.043,0.084
ols,3,-0.072,-0.088,-0.152,-0.202,-0.182
ols,6,-0.354,-0.439,-0.147,-0.243,-1.011
rf,1,-0.01,-0.006,-0.012,-0.012,-0.007
rf,3,-0.025,-0.034,0.059,-0.009,-0.069
rf,6,-0.002,-0.003,-0.135,-0.17,-0.006
ridge,1,0.064,0.077,0.051,0.05,0.091
ridge,3,-0.043,-0.053,-0.154,-0.203,-0.108
ridge,6,-0.169,-0.22,-0.161,-0.255,-0.462
xgboost,1,0.009,0.016,0.006,0.004,0.02
xgboost,3,-0.0,-0.006,0.092,0.049,-0.013
xgboost,6,-0.06,-0.106,-0.221,-0.317,-0.211
